episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
86,295389,-541.9204,-236.9359,3142,0,0,1,0,2.2833,1.789,collision,912.5,0.106082,0.430188,-0.847103,0.879487,2.904644,1.456694,0.085576,5.879752,0.441909,0.465488,-0.999999,1.003046,,,,,,,,,,,,,0,gru
87,299389,-252.5878,-208.7253,4000,0,0,0,1,1.0394,1.832,max_steps,924.5,0.082819,0.433136,-0.860738,0.885236,3.045083,1.426685,0.088991,5.92429,0.459585,0.468569,-0.850607,1.0,,,,,,,,,,,,,0,gru
88,303389,-462.7938,-200.7382,4000,0,0,0,1,1.402,1.827,max_steps,938.3,0.060051,0.437237,-0.874041,0.879721,3.041147,1.443871,0.039692,5.930262,0.457739,0.457407,-0.707976,1.0,0.038151,0.864332,2.199705,0.009948,0.722402,0.300229,0.770518,0.0005,,,,,0,gru
89,305210,-520.9278,-213.3727,1821,0,0,1,0,3.8111,1.734,collision,943.8,0.137535,0.431936,-0.86083,0.875394,2.762867,1.44749,0.014421,5.92884,0.366586,0.512791,-1.0,1.18155,,,,,,,,,,,,,0,gru
90,307919,-622.1599,-191.4601,2709,0,0,1,0,3.1199,1.744,collision,951.3,0.143596,0.433749,-0.875243,0.884188,2.776884,1.432531,0.060435,5.949183,0.38961,0.503648,-1.0,1.069373,,,,,,,,,,,,,0,gru
91,311503,-597.7456,-258.3109,3584,0,0,1,0,1.9752,1.773,collision,961.7,0.104748,0.442933,-0.88404,0.877159,2.89253,1.4343,0.074814,5.914651,0.428451,0.479077,-1.0,1.001096,,,,,,,,,,,,,0,gru
92,315503,-524.7858,-301.877,4000,0,0,0,1,1.5935,1.809,max_steps,974.7,0.069446,0.437972,-0.892784,0.881574,2.954858,1.434398,0.082026,5.93111,0.460066,0.456917,-0.814141,1.0,0.036624,0.847281,2.19714,0.009946,0.710676,0.2309,0.832338,0.0005,,,,,0,gru
93,318209,-516.0729,-402.3785,2706,0,0,1,0,2.8043,1.749,collision,982.3,0.087486,0.441215,-0.883781,0.884426,2.807302,1.446628,0.060822,5.923514,0.439982,0.46451,-1.0,1.001886,,,,,,,,,,,,,0,gru
94,321572,632.8304,-401.2525,3363,1,1,0,0,0.2852,1.846,goal,991.8,0.072472,0.440307,-0.862539,0.878361,3.12331,1.420246,0.192961,5.940187,0.478502,0.464574,-0.619235,1.0,,,,,,,,,,,,,0,gru
95,324815,-542.2659,-394.8429,3243,0,0,1,0,2.2597,1.76,collision,1001.2,0.079091,0.45033,-0.872775,0.896509,2.852782,1.439901,0.084583,5.87487,0.452704,0.45656,-0.960429,1.0,,,,,,,,,,,,,0,gru
96,327733,-526.9563,-393.3465,2918,0,0,1,0,2.572,1.759,collision,1010.7,0.091336,0.445486,-0.875052,0.888721,2.844913,1.446408,0.042809,5.92122,0.443475,0.4635,-1.0,1.0,-0.029571,2.145351,2.203268,0.009944,1.653395,0.150038,0.748441,0.0005,,,,,0,gru
97,331733,-550.1391,-423.1017,4000,0,0,0,1,1.829,1.809,max_steps,1022.3,0.055084,0.440964,-0.88455,0.883653,2.963594,1.442989,0.0827,5.962128,0.461262,0.449175,-0.695559,1.001784,,,,,,,,,,,,,0,gru
